name,city,state,star,address,bid,zip,review,thur,fri,wed,tue,mon,sat,sun
Baskin-Robbins,Goodyear,AZ,2.5,"15530 W Roosevelt St, Ste E105",221yaXPE1zmJqDvBVM__tw,85338,26,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Steak and Shake,Willoughby,OH,2.5,5051 Som Center Rd,3KzzG6dw5aN9eIo3cGHaSA,44094,43,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Waffle House,Pineville,NC,3.5,8220 Pineville Matthews Rd,MDJqm5KN1hFWm4R2VtNIlw,28134,33,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Ben & Jerry's,Davidson,NC,4.5,202 S Main St,Um2H2xUT0eamjN6ivIUAiA,28036,10,12:0-21:0,12:0-22:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-22:0,12:0-21:0
Subway,Sun City,AZ,2,"10659 Grand Ave, Ste 2",ol2r325YnfuHcq7yeO3vdg,85351,13,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Nancy B's Bakery,West Homestead,PA,5,415 7th Ave,U9vCFCDQMQ8GFr5z48h8tQ,15120,56,9:0-16:30,9:0-16:30,9:0-16:30,9:0-16:30,9:0-16:30,CLOSED,CLOSED
Ferrucci's Old Tyme Italian Market,Cornelius,NC,4.5,20910 Torrence Chapel Rd,bX4gfj2Kj22Lwm-nSsnnfg,28031,59,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,CLOSED,10:0-16:0,CLOSED
Sprouts Farmers Market,Peoria,AZ,4.5,10134 W Happy Valley Rd,JXmYodz9jw1P23Ygx4OZTQ,85383,27,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0
Roots Cafe,Charlotte,NC,4,"2135 Southend Dr, Ste 109",CGUK3cd2gxp2q3KPY19Oog,28203,104,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,CLOSED,8:0-15:0,8:0-15:0
Don Patron,Streetsboro,OH,4,"9800 State Rt 14, Ste E",vrSJPjntzfCPgogFPSCHiA,44241,48,11:0-22:0,11:0-22:30,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:30,11:0-21:0
Starbucks,Cave Creek,AZ,4.5,4815 E. Carfree highway,qOuyItOatd-TF5kzhUlA9g,85331,11,5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0
Roberto's Taco Shop,Las Vegas,NV,3,2685 S Eastern Ave,H2Chxto2e6dHTDJ8-s3-pQ,89169,64,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
New York Bagels 'N Bialys,Scottsdale,AZ,4,10320 N Scottsdale Rd,ncXQtqJT5Gk1QztwTrBrgw,85253,307,6:30-15:0,6:30-14:0,6:30-15:0,6:30-15:0,6:30-12:0,6:30-15:0,6:30-12:0
Sacks Sandwiches - Hardy,Tempe,AZ,4,839 W University Dr,aXsmmtepl0JZNcl3pkXqww,85281,100,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,0:0-0:0,CLOSED,CLOSED
Teacup,Litchfield Park,AZ,4.5,"13000 W Indian School Rd, Ste A-14",j1-t7dIoGgzgcmotB7pkOg,85340,57,10:0-21:0,10:0-22:0,10:0-21:0,10:0-21:0,0:0-0:0,10:0-22:0,10:0-21:0
Le Peep,Charlotte,NC,3.5,8140-100 Providence Rd,uwpPniaFEVkK5T_PWdQZ0A,28277,134,7:0-14:30,7:0-14:30,7:0-14:30,7:0-14:30,7:0-14:30,7:0-14:30,7:30-14:30
NutriShop,Tempe,AZ,5,101 E. Southern Ave.,HxUD_4GpOInD-mXIppZiZA,85281,23,10:0-20:0,10:0-19:0,10:0-17:0,10:0-20:0,0:0-0:0,10:0-19:0,10:0-18:0
Uncle Joe's Bar & Grill,Parma Heights,OH,4,6211 W 130th St,kKTXiGVLEVpPA7r2R6baVw,44130,11,14:0-2:30,14:0-2:30,14:0-2:30,14:0-2:30,14:0-2:30,14:0-2:30,12:0-2:30
Prince Restaurant,Las Vegas,NV,4,"6795 W Flamingo Rd, Ste A",tk7__jHNlFMsfShjv5CJNQ,89103,35,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0
Wandering Donkey,Cave Creek,AZ,3,,BxRsg5YTYnxXEhoGcabydg,85331,20,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Daisy Mountain Coffee Roasters,Phoenix,AZ,4,"3170 W Carefree Hwy, Ste 7",qjuxlHtv_woIw9zPVWri5A,85086,81,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,7:0-16:0
Treetz Goodeatz,Fort Mill,SC,4.5,857 Stockbridge Dr,n4BpU2y7O5k7Eoycay2ocw,29708,16,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,0:0-0:0,10:0-18:0,12:0-17:0
Whole Foods Market,Henderson,NV,3.5,100 S Green Valley Pkwy,r-s-G1yyETRzTALYG9js8A,89012,278,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0
Carol's Confections,Pittsburgh,PA,3.5,125 W Station Square Dr,vg-r3melXfuPnjMjDp3VOw,15219,10,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,12:0-17:0
Einstein Bros Bagels,Las Vegas,NV,2.5,"7291 S Eastern Ave, Ste A",W3ia8dkoGGRYEfFg_BiyPg,89119,82,5:0-17:0,5:0-17:0,5:0-17:0,5:0-17:0,5:0-17:0,6:0-16:0,6:0-15:0
Metropolis Popcorn,Cuyahoga Falls,OH,4,2164 Front St,BFRpqPTx6O51eIioCXNm7g,44221,17,10:0-20:0,10:0-21:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-21:0,12:0-17:0
McAlister's Deli,Champaign,IL,3,421 Town Center Rd,o9nGD3J0btXjE9M6IdgZTA,61820,50,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,0:0-0:0,10:30-21:0,10:30-20:0
Boba Tea House,Chandler,AZ,4,2055 N Dobson Rd,1HD5iUUfVJDbfEBIn9yVhw,85224,340,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0
Burgers 2 Beer,Solon,OH,3.5,33003 Aurora Rd,u-IVGF-wGwvxuj3uKQW8qw,44139,79,11:0-23:0,11:0-0:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-22:0
McDonald's,Peoria,AZ,2,8452 W Thunderbird,PF5rHGGZ93i7UJP9Fsvgmg,85381,32,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Wendys,Charlotte,NC,2,3700 Wt Harris Blvd,stCP0pdz5_3i7AAzmt5dSw,28269,18,10:0-14:0,10:0-14:0,10:0-14:0,10:0-14:0,10:0-14:0,10:0-14:0,10:0-14:0
Firehouse Subs,Gastonia,NC,3,"2290 E Franklin Blvd, Ste 100",5Novl6V4g5TV4ATFPElsYQ,28054,24,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0
The Thumb BBQ,Scottsdale,AZ,4.5,9393 E Bell Rd,6nKR80xEGHYf2UxAe_Cu_g,85260,917,7:0-20:0,7:0-21:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-21:0,7:0-20:0
Walmart,Mayfield Heights,OH,2,6594 Mayfield Rd,eWlNG4K_lDFFNQHFw2A55g,44124,21,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0
JoJo's Jerky,Las Vegas,NV,4.5,"707 Fremont St, Ste 1080",9phyjc0gaJTRO_YFJDH6mg,89109,20,10:0-22:0,10:0-23:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-23:0,10:0-22:0
Michelle's Place,Medina,OH,3,"144 N Court St, Ste B",ORloM7z9R9eh-G-an5DQLA,44256,20,7:0-14:0,7:0-14:0,7:0-14:0,7:0-14:0,7:0-14:0,7:0-14:0,8:0-14:0
Burger King,Las Vegas,NV,2.5,8600 W Cheyenne Ave,yYkvonvBGZB6UMnpzr6Ryw,89129,25,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,7:0-0:0
Tableside Gourmet,Scottsdale,AZ,5,7725 E Sheridan St,SSx8KlC8ydFohTMvjZPsxw,85257,35,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0
Jack in the Box,Las Vegas,NV,2.5,6451 Boulder Hwy,6Ege_N9uJ-rtKIs1TNA8aQ,89122,20,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Jean-Marie Auboine Chocolatier FACTORY SHOP,Las Vegas,NV,4.5,"4780 W Harmon Ave, Ste 1",vZLrA1A0rNebyMtxBwOCDQ,89103,65,14:30-17:0,14:30-17:0,14:30-17:0,14:30-17:0,0:0-0:0,10:0-16:0,CLOSED
Tempe City Tacos,Tempe,AZ,4.5,119 E Southern Ave,4PqqRa7o_eNydKdGWYdIog,85282,284,10:0-21:0,10:0-21:30,10:0-21:0,10:0-21:0,0:0-0:0,10:0-21:30,CLOSED
Dolce Ristorante,Charlotte,NC,3.5,"1710 Kenilworth Ave, Ste 203",YzMUZjUMcgI-NSGu48-nIQ,28203,166,17:0-21:0,17:0-21:30,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:30,CLOSED
Chick-fil-A,Phoenix,AZ,4,5035 E Ray Rd,KOA3EA_eFxiRz5P2lAmM_Q,85044,101,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,10:30-18:0,6:0-22:0,CLOSED
Dunkin' Donuts,Las Vegas,NV,2.5,"4503 Paradise Rd, Ste 110",i0ToFQWsWPzFEC1eAxBh6Q,89169,40,4:0-23:0,4:0-23:0,4:0-23:0,4:0-23:0,4:0-23:0,4:0-23:0,4:0-23:0
Waffles Cafe,North Las Vegas,NV,4,"6885 Aliante Pkwy, Ste 103",hqtZ2NmUlrNtHp7xW2BWoA,89084,333,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-15:0,7:0-16:0,7:0-16:0
Target,Las Vegas,NV,3.5,8750 W Charleston Blvd,FMOWO7_mj8lSZnV3WqpGiA,89117,150,8:0-23:0,8:0-23:0,8:0-23:0,8:0-23:0,8:0-23:0,8:0-0:0,8:0-23:0
Sands Expo,Las Vegas,NV,3,201 Sands Ave,UcBgxABVMc5mo1JLB8t70Q,89109,62,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
McDonald's,Oregon,WI,1,1029 N Main St,8RbNzNeaUh5e8PJOnp1e4Q,53575,13,5:0-23:0,5:0-0:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-0:0,5:0-23:0
Winchell's Donut House,Las Vegas,NV,4,3307 S Jones,QcdKTLeP3J5Ki-fVcPZkfA,89146,50,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Savory Spice Shop,Charlotte,NC,4.5,"2000 S Blvd, Ste 150",NRFKiCg_6WJtuGpfb9dxVw,28203,90,10:0-18:30,10:0-18:30,10:0-18:30,10:0-18:30,10:0-18:30,9:30-18:0,12:0-16:30
Dunkin' Donuts,Las Vegas,NV,2,"5861 W Craig Rd, Ste 101",Q-dVQgyof9paXKJLwFsn3Q,89130,75,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Walgreens,Las Vegas,NV,1.5,900 N Rancho Dr,E9cD-weHeU6TMf-VPKfPMQ,89106,12,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0
One Stop Nutrition,Phoenix,AZ,3.5,"15425 S 48th St, Ste 112",6WQQF4j_ISvLbU07nxX4_g,85044,34,8:0-21:0,8:0-20:0,8:0-21:0,8:0-21:0,8:0-21:0,8:0-19:0,8:0-18:0
Krazy 4 Koffee,Phoenix,AZ,4.5,711 E Carefree Hwy,SE6VY8EWjEuAOzl19IQiCw,85085,28,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,CLOSED,CLOSED
Takopa,Las Vegas,NV,4,"4215 Spring Mountain Rd, Ste B106A",bZs7FJ7fHIJxVecfp1qvug,89102,51,11:0-22:0,11:0-22:0,CLOSED,11:0-22:0,0:0-0:0,11:0-22:0,11:0-22:0
Chipotle Mexican Grill,Wexford,PA,2.5,11359 Perry Hwy,_EVOLAjWYEfSOO_smbBxaA,15090,19,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0
Bruster's Real Ice Cream,Indian Trail,NC,4,531 Indian Trail Rd S,VLh2PFNIokT-9sqtVPQQ9A,28079,14,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
Subway,Glendale,AZ,4,4303 W Peoria Ave,#NAME?,85302,12,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,8:0-22:0,9:0-21:0
The Corndog Company LV,Las Vegas,NV,5,,MXpCVzm1V5OH05KO6n7ntA,89149,36,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,CLOSED
Lake Town Tavern,Cornelius,NC,3.5,19708-K W Catawba Ave,1INcoGMv9-Dk-S6Au0TMgQ,28031,32,6:30-2:0,6:30-2:0,6:30-2:0,6:30-2:0,6:30-2:0,6:30-2:0,6:30-2:0
Greenland Supermarket,Las Vegas,NV,4,6850 Spring Mountain Rd,qVO3l9Q0-KVQE7W9JL9ePw,89146,334,8:0-23:0,8:0-23:0,8:0-23:0,8:0-23:0,8:0-23:0,8:0-23:0,8:0-23:0
Subway,Goodyear,AZ,2,14175 W Indian School Rd,XuLXX5B5W1P-iNpgXmqmjQ,85338,11,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,9:0-22:0
Menchie's Frozen Yogurt,Las Vegas,NV,3.5,10965 Lavender Hill Dr,I8T4Xsp3Wv7W-RJhsHrTDA,89135,49,11:30-21:0,11:30-22:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-22:0,11:30-21:0
Charlotte Vitamins and Health,Charlotte,NC,3.5,"8206 Providence Rd, Ste 1800",WgzVzQtNVKP4l7jC--YFoA,28277,15,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,0:0-0:0,9:0-18:0,13:0-17:0
Walgreens,Las Vegas,NV,2.5,9415 W Desert Inn Rd,2qITBvSPsrXJPutDevpNOQ,89117,41,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Tasty Crepes,Las Vegas,NV,4.5,4845 S Fort Apache Rd,iX2c4IzH_L5F6FM5GD3SUQ,89147,260,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,0:0-0:0,12:0-21:0,12:0-21:0
The Dixie Pig Tega Cay,Fort Mill,SC,4,2150 Gold Hill Rd,IdneSH2aKUz9c8K5OHYg7w,29708,72,11:0-22:0,11:0-22:0,11:0-17:0,11:0-22:0,11:0-22:0,11:0-22:0,12:0-22:0
Subway,Phoenix,AZ,2,"455 N 3rd St, Ste 1015",UXd3218Enn8Lt5csBxwC8g,85004,18,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Sweets Unlimited,Scottsdale,AZ,4.5,,M007_bAIM34x1yd138zhSQ,85260,68,8:0-13:0,8:0-13:0,8:0-13:0,8:0-13:0,CLOSED,8:0-13:0,CLOSED
City Brew Tours Pittsburgh,Pittsburgh,PA,5,112 Washington Pl,vgGijxITEbgF44fkG-lGJw,15213,22,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0
Cranberry Hills Eatery & Catering,Phoenix,AZ,3.5,"3003 N Central Ave, Ste 118",R_6ZdYGyq7W1EE2fXML30w,85012,37,6:30-15:0,6:30-15:0,6:30-15:0,6:30-15:0,6:30-15:0,CLOSED,CLOSED
Hardee's,Pittsburgh,PA,4,1201 N Ave,FE135tFrIhxrtAkf6-A1Rw,15209,22,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Carl's Cakes,Madison,WI,4,110 Market St,SzZXyEAWLkiVfK8I9oltKw,53590,31,7:0-21:0,7:0-22:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-22:0,7:0-21:0
Pure Pizza,Charlotte,NC,4,224 E 7th St,tjAeaGdxf7I4xN9M7wGJNQ,28202,259,11:0-19:0,11:0-20:0,11:0-19:0,11:0-19:0,0:0-0:0,11:0-20:0,11:0-16:0
Farmer In the Deli,Chesterland,OH,4,12612 Chillicothe Rd,_u3Ouf5o_39HXuwV-oFSxg,44026,17,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,9:0-18:0,10:0-15:0
Carl's Jr,Las Vegas,NV,2,2001 Las Vegas Blvd S,aBCqrJwXAHnTgO2e_l0v8w,89104,35,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Pop Drinks,Las Vegas,NV,4.5,"4975 S Fort Apache Rd, Ste 109",denOutmcto4xiKG6yXfA6g,89148,73,8:0-21:0,8:0-22:0,8:0-21:0,8:0-21:0,0:0-0:0,9:0-22:0,CLOSED
Sonic Drive-In,Henderson,NV,3,300 S Boulder Hwy,KXO9aGAOWAJEmHD_d8yQ7A,89015,78,6:0-0:0,6:0-1:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-1:0,6:0-0:0
Honey Baked Ham Company,Charlotte,NC,3.5,303 E Woodlawn Rd,9p80iZvVnZdw9U5wtDyp4Q,28217,13,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,10:0-18:0,11:0-17:0
strEat Mobile Bistro,Cleveland,OH,4.5,801 W Superior Ave,aOvEr1tluvkmwZjpzfxBAg,44113,20,9:0-23:30,9:0-23:30,9:0-23:30,9:0-23:30,9:0-23:30,9:0-23:30,9:0-23:30
Taco Bell,Las Vegas,NV,2.5,4880 W. Frias Avenue,hySFMXFqyb7rNuxS8koNrQ,89141,39,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Panera Bread,North Ridgeville,OH,3,32305 Lorain Rd,TlwnrbGJA1jiudJBUWs1hQ,44039,19,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,7:0-21:0
Baker Wee,Phoenix,AZ,4,4263 W Thunderbird Rd,M0yfSpeDaYTPEnLjw_0g_g,85053,159,6:0-18:0,6:0-18:0,6:0-18:0,6:0-18:0,CLOSED,7:0-16:0,9:0-14:0
Chipotle Mexican Grill,Solon,OH,2,33599 Aurora Rd,0rN_o7_IfshAHQwzMUK8nA,44139,57,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0
Subway,Henderson,NV,2.5,689 N Stephanie St,lqPuSiWypNCACEMhArSZ2A,89014,22,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Roots Catering,Charlotte,NC,4,3410 St Vardell Ln,BpW65jN4yscndnTsdyzoHQ,28217,36,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-14:0,CLOSED
KFC,Sun City,AZ,1.5,10661 Grand Ave,O4TYqnhpXpyrgJBkucaeaw,85351,25,9:30-22:0,9:30-23:0,9:30-22:0,9:30-22:0,9:30-22:0,9:30-23:0,9:30-22:0
Desert Sage Herbs,Chandler,AZ,4,1728 N Alma School Rd,XEnEtoa25olB0tyjc6Jzqg,85224,26,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-17:0,CLOSED
Fry's Food & Drug,Scottsdale,AZ,3,7628A E Indian School Rd,bLSuFAdnPOyWt9s0rCjv_A,85251,52,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0
Walgreens,Phoenix,AZ,2.5,1825 W Bethany Home Rd,f0X3jm4H4pfBT_eZeneqoQ,85015,12,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,9:0-22:0,7:0-22:0,8:0-22:0
Liberty Beer,Pittsburgh,PA,4.5,4133 Liberty Ave,WAGESBe_9h_au35adjvoQQ,15224,11,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-21:0
